Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2023-03-22,104.87,87.38,75.34,,,,
2023-03-29,109.52,125.54,83.06,,,,
2023-04-04,114.25,80.58,58.56,,,,
2023-04-11,56.91,47.84,40.71,,,,
2023-04-20,127.63,72.03,68.0,,,,
2023-04-27,620.93,337.78,242.43,,,,
2023-05-05,83.05,49.06,30.19,,,,
2023-05-11,497.64,362.96,260.19,,,,
2023-05-18,235.2,195.19,163.99,,,,
2023-05-25,454.42,354.63,260.05,,,,
2023-05-31,691.82,499.76,317.55,,,,
2023-06-05,736.55,532.46,338.18,,,,
2023-06-13,852.12,647.12,594.82,,,,
2023-06-21,1387.99,886.02,698.91,,,,
2023-06-28,213.24,134.48,98.37,,,,
2023-07-05,153.99,,88.73,158.43,124.45,121.07,104.63
2023-07-12,440.61,,238.9,1323.43,1200.95,320.6,864.67
2023-07-19,456.4,,190.24,1469.3,321.23,920.86,794.3
2023-07-26,87.23,,0.13,744.18,0.93,602.04,663.62
2023-08-01,8.84,,0.13,77.3,0.17,62.69,52.19
2023-08-10,1051.59,,0.12,0.13,715.19,0.12,508.18
2023-08-17,1.25,,12.4,764.06,688.49,0.93,568.89
2023-08-24,1274.76,,308.39,41.09,31.98,649.85,47.47
