Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2021-01-20,4.46,4.46,4.47,,,4.47,4.47,,,,,
2021-01-27,4.77,4.73,4.71,,,4.69,4.69,,,,,
2021-02-03,4.87,4.88,4.87,,,4.88,4.88,,,,,
2021-02-12,4.97,4.94,4.93,,,4.93,4.93,,,,,
2021-02-17,5.01,5.01,5.01,,,5.01,5.01,,,,,
2021-02-24,5.03,5.03,5.03,,,5.03,5.03,,,,,
2021-03-05,4.99,4.99,4.99,,,4.99,5.0,,,,,
2021-03-10,4.86,4.88,4.88,,,4.97,5.01,,,,,
2021-03-15,5.15,5.15,5.14,,,5.13,5.13,,,,,
2021-03-24,4.99,4.93,4.96,,,4.97,4.97,,,,,
2021-04-06,5.33,5.3,5.29,,,5.29,5.29,,,,,
2021-04-13,5.27,5.27,5.27,,,5.27,5.27,,,,,
2021-04-20,5.29,5.26,5.25,,,5.25,5.25,,,,,
2021-04-27,5.32,5.29,5.27,,,5.28,5.31,,,,,
2021-05-06,5.62,5.62,5.6,,,5.6,5.6,,,,,
2021-05-13,5.78,5.77,5.76,,,5.76,5.76,,,,,
2021-05-20,6.0,6.0,6.0,,,6.0,6.0,,,,,
2021-05-25,5.85,5.89,5.89,,,5.88,5.88,,,,,
2021-06-02,5.88,5.89,5.89,,,5.89,5.88,,,,,
2021-06-08,6.11,6.11,6.11,,,6.1,6.1,,,,,
2021-06-14,6.23,6.25,6.24,,,6.23,6.24,,,,,
2021-06-22,6.3,6.32,6.32,,,6.32,6.32,,,,,
2021-07-01,6.54,6.53,6.53,,,6.53,6.5,,,,,
2021-07-06,6.68,6.69,6.69,,,6.69,6.69,,,,,
2021-07-14,6.68,6.69,6.69,,,6.69,6.69,,,,,
2021-07-20,6.85,6.82,6.8,,,6.8,6.8,,,,,
2021-07-27,6.9,6.89,6.89,,,6.88,6.88,,,,,
2021-08-03,6.84,6.86,6.85,,,6.84,6.84,,,,,
2021-08-09,6.89,6.89,6.9,,,6.91,6.91,,,,,
2021-08-13,6.84,6.84,6.82,,,6.81,6.8,,,,,
2021-08-16,6.99,6.99,6.97,,,6.95,6.94,,,,,
2021-08-19,6.94,6.96,6.96,,,6.96,6.96,,,,,
2021-08-24,6.84,6.84,6.82,,,6.82,6.8,6.83,,,,
2021-08-26,6.81,6.81,6.8,,,6.8,6.81,,,,,
2021-08-30,6.96,6.95,6.94,,,6.92,6.88,,,,,
2021-09-02,6.84,6.84,6.83,,,6.81,6.82,,,,,
2021-09-09,,6.86,6.86,,,6.85,6.85,,,,,
2021-09-13,6.85,6.85,6.85,,,6.85,6.85,,,,,
2021-09-20,6.7,6.7,6.7,,,6.69,6.69,,,,,
2021-09-30,6.54,6.54,6.52,,,6.51,6.5,,,,,
2021-10-07,6.34,6.32,6.31,,,6.31,6.31,,,,,
2021-10-11,6.27,6.27,6.27,,,6.28,6.29,,,,,
2021-10-18,6.22,6.2,6.19,,,6.19,6.19,6.19,,,,
2021-10-28,5.88,5.88,5.87,,,5.87,5.86,,,,,
2021-11-04,5.81,5.81,5.81,,,5.81,5.81,,,,,
2021-11-11,5.34,5.33,5.33,,,5.33,5.33,5.33,,,,
2021-11-18,5.28,5.28,5.28,,,5.28,5.28,5.28,,,,
2021-11-25,5.16,5.16,5.16,,,5.16,5.16,,,,,
2021-12-01,4.82,4.81,4.81,,,4.82,4.86,,,,,
2021-12-10,4.83,4.83,4.83,,,4.83,4.83,,,,,
2021-12-15,4.89,4.89,4.89,,,4.89,4.89,,,,,
2021-12-21,4.88,4.87,4.87,,,4.89,4.94,,,,,
2021-12-28,5.01,5.0,5.0,,,5.0,5.0,,,,,
2022-01-04,5.0,4.99,4.99,,,4.99,4.99,,,,,
2022-01-12,4.85,4.84,4.83,,,4.83,4.82,,,,,
2022-01-19,4.75,4.75,4.75,,,4.75,4.75,,,,,
2022-01-27,4.78,4.78,4.78,,,4.78,4.78,,,,,
2022-02-02,4.79,4.78,4.78,,,4.78,4.78,,,,,
2022-02-10,4.88,4.88,4.88,,,4.89,4.92,,,,,
2022-02-16,4.91,4.91,4.91,,,4.91,4.91,,,,,
2022-02-24,5.03,5.03,5.03,,,5.02,5.02,,,,,
2022-03-02,5.05,5.03,5.02,,,5.01,5.01,,,,,
2022-03-11,5.08,5.07,5.06,,,5.05,5.06,,,,,
2022-03-24,4.88,4.88,4.88,,,4.88,4.88,,,,,
2022-03-28,4.85,4.86,4.86,,,4.86,4.86,,,,,
2022-04-06,4.48,4.5,4.52,,,4.53,4.54,4.56,,,,
2022-04-11,4.91,4.91,4.91,,,4.9,4.9,,,,,
2022-04-19,5.3,5.27,5.26,,,5.24,5.18,,,,,
